Sipariş ID,Müşteri ID,Sipariş Tarihi,Kategori,Ürün,Birim Fiyat,Adet,İndirim Oranı,Toplam Tutar,Bölge,Ödeme Yöntemi,İade Durumu,İade Nedeni,Müşteri Puanı
ORD-10000,CUST-3619,2025-04-21,Elektronik,Klavye,10173.23,1,0.17,8443.78,Doğu Anadolu,Kredi Kartı,False,,1
ORD-10001,CUST-1383,2025-06-14,Giyim,Tişört,1166.37,5,0.0,5831.85,Ege,Kredi Kartı,False,,2
ORD-10002,CUST-3859,2025-09-27,Ev & Yaşam,Halı,2585.55,3,0.0,7756.65,Marmara,Kredi Kartı,False,,3
ORD-10003,CUST-4305,2025-03-17,Spor,Bisiklet,1335.78,4,0.0,5343.12,Marmara,Banka Kartı,False,,3
ORD-10004,CUST-3364,2025-06-01,Elektronik,Laptop,26619.9,2,0.21,42059.44,Karadeniz,Kredi Kartı,False,,3
ORD-10005,CUST-1666,2025-08-31,Ev & Yaşam,Robot Süpürge,10151.58,1,0.04,9745.52,Akdeniz,Kredi Kartı,False,,5
ORD-10006,CUST-1899,2026-02-08,Ev & Yaşam,Mutfak Robotu,11594.21,1,0.0,11594.21,Marmara,Kredi Kartı,False,,2
ORD-10007,CUST-4740,2025-12-10,Ev & Yaşam,Robot Süpürge,9934.95,4,0.16,33381.43,Marmara,Kredi Kartı,False,,5
ORD-10008,CUST-2076,2025-12-19,Spor,Bisiklet,4054.07,2,0.03,7864.9,Ege,Banka Kartı,False,,2
ORD-10009,CUST-3570,2025-05-15,Spor,Bisiklet,728.92,4,0.0,2915.68,Ege,Kredi Kartı,False,,1
ORD-10010,CUST-3786,2025-04-22,Ev & Yaşam,Mutfak Robotu,9722.14,1,0.0,9722.14,Marmara,Kredi Kartı,False,,3
ORD-10011,CUST-4980,2025-11-06,Giyim,Pantolon,1753.99,3,0.13,4577.91,Marmara,Kredi Kartı,False,,5
ORD-10012,CUST-4762,2025-02-23,Ev & Yaşam,Masa,586.31,3,0.21,1389.55,Marmara,Kredi Kartı,False,,1
ORD-10013,CUST-1350,2025-10-29,Elektronik,Kulaklık,5571.46,2,0.04,10697.2,Ege,Banka Kartı,False,,5
ORD-10014,CUST-4093,2026-02-11,Giyim,Gömlek,858.09,3,0.0,2574.27,Ege,Kredi Kartı,False,,3
ORD-10015,CUST-1086,2025-12-21,Giyim,Kazak,113.66,1,0.0,113.66,Doğu Anadolu,Havale/EFT,True,Kusurlu Ürün,2
ORD-10016,CUST-3740,2025-10-29,Giyim,Ceket,1474.37,5,0.0,7371.85,Marmara,Kredi Kartı,False,,1
ORD-10017,CUST-1397,2026-01-26,Spor,Koşu Bandı,4293.43,4,0.01,17001.98,İç Anadolu,Banka Kartı,True,Vazgeçtim,1
ORD-10018,CUST-2018,2025-06-01,Giyim,Mont,366.35,2,0.0,732.7,Marmara,Kapıda Ödeme,False,,5
ORD-10019,CUST-1401,2025-03-20,Elektronik,Akıllı Telefon,37091.5,1,0.0,37091.5,Ege,Kredi Kartı,False,,1
ORD-10020,CUST-1674,2025-09-05,Elektronik,Tablet,10975.52,2,0.0,21951.04,İç Anadolu,Banka Kartı,False,,4
ORD-10021,CUST-1634,2025-05-31,Ev & Yaşam,Robot Süpürge,14540.03,5,0.02,71246.15,Marmara,Kredi Kartı,False,,5
ORD-10022,CUST-1644,2025-03-24,Elektronik,Kulaklık,3206.59,1,0.06,3014.19,Marmara,Havale/EFT,False,,5
ORD-10023,CUST-1162,2026-01-06,Elektronik,Tablet,26466.24,2,0.05,50285.86,Akdeniz,Kredi Kartı,False,,3
