Tarih,Sembol,Fiyat,Hacim,Değişim (%)
2026-02-23 09:35:00,AAPL,265.85,858781,0.18
2026-02-23 09:40:00,AAPL,264.4,408754,-0.55
2026-02-23 09:45:00,AAPL,264.71,341697,0.12
2026-02-23 09:50:00,AAPL,264.65,1182434,-0.02
2026-02-23 09:55:00,AAPL,264.92,1254349,0.1
2026-02-23 10:00:00,AAPL,264.77,2875458,-0.06
2026-02-23 10:05:00,AAPL,265.57,355313,0.3
2026-02-23 10:10:00,AAPL,265.43,1903060,-0.05
2026-02-23 10:15:00,AAPL,266.77,1955274,0.5
2026-02-23 10:20:00,AAPL,267.18,2185899,0.15
2026-02-23 10:25:00,AAPL,267.05,4647473,-0.05
2026-02-23 10:30:00,AAPL,267.09,214116,0.01
2026-02-23 10:35:00,AAPL,266.95,2556514,-0.05
2026-02-23 10:40:00,AAPL,266.79,2661899,-0.06
2026-02-23 10:45:00,AAPL,267.04,2776580,0.1
2026-02-23 10:50:00,AAPL,266.7,5480038,-0.13
2026-02-23 10:55:00,AAPL,266.8,5773269,0.04
2026-02-23 11:00:00,AAPL,265.85,3077733,-0.35
2026-02-23 11:05:00,AAPL,265.12,3286308,-0.27
2026-02-23 11:10:00,AAPL,264.85,6514477,-0.1
2026-02-23 11:15:00,AAPL,265.59,6631043,0.28
2026-02-23 11:20:00,AAPL,266.12,246459,0.2
2026-02-23 11:25:00,AAPL,266.59,7139040,0.18
2026-02-23 11:30:00,AAPL,266.24,7214312,-0.13
2026-02-23 11:35:00,AAPL,266.33,3773703,0.03
2026-02-23 11:40:00,AAPL,266.61,7533703,0.11
2026-02-23 11:45:00,AAPL,266.62,143416,0.0
2026-02-23 11:50:00,AAPL,266.42,3955646,-0.08
2026-02-23 11:55:00,AAPL,266.07,4030760,-0.13
2026-02-23 12:00:00,AAPL,266.39,7957239,0.12
2026-02-23 12:05:00,AAPL,266.73,184953,0.13
2026-02-23 12:10:00,AAPL,266.48,4223273,-0.09
